yourlist:M20210831A084FC58F6BBA219896F365D15F2EB441669B00	Entry	Entry name	Protein names	Gene names	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
Q8TEK3	Q8TEK3	DOT1L_HUMAN	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (DOT1-like protein) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Lysine N-methyltransferase 4)	DOT1L KIAA1814 KMT4	chromatin silencing at telomere [GO:0006348]; DNA damage checkpoint [GO:0000077]; DNA repair [GO:0006281]; gene expression [GO:0010467]; histone H3-K79 methylation [GO:0034729]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of receptor signaling pathway via JAK-STAT [GO:0046425]; regulation of transcription regulatory region DNA binding [GO:2000677]; telomere organization [GO:0032200]	DNA binding [GO:0003677]; histone-lysine N-methyltransferase activity [GO:0018024]; histone methyltransferase activity [GO:0042054]; histone methyltransferase activity (H3-K79 specific) [GO:0031151]; transcription factor binding [GO:0008134]	chromosome, telomeric region [GO:0000781]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q8WU79	Q8WU79	SMAP2_HUMAN	Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like)	SMAP2 SMAP1L		GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
Q8WUB8	Q8WUB8	PHF10_HUMAN	PHD finger protein 10 (BRG1-associated factor 45a) (BAF45a) (XAP135)	PHF10 BAF45A	negative regulation of transcription, DNA-templated [GO:0045892]; nervous system development [GO:0007399]; positive regulation of transcription by RNA polymerase II [GO:0045944]	histone binding [GO:0042393]; metal ion binding [GO:0046872]; transcription coregulator activity [GO:0003712]	npBAF complex [GO:0071564]; nucleoplasm [GO:0005654]
Q8WVC0	Q8WVC0	LEO1_HUMAN	RNA polymerase-associated protein LEO1 (Replicative senescence down-regulated leo1-like protein)	LEO1 RDL	beta-catenin-TCF complex assembly [GO:1904837]; endodermal cell fate commitment [GO:0001711]; histone H2B ubiquitination [GO:0033523]; histone monoubiquitination [GO:0010390]; mRNA polyadenylation [GO:0006378]; negative regulation of myeloid cell differentiation [GO:0045638]; positive regulation of mRNA 3'-end processing [GO:0031442]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; protein ubiquitination [GO:0016567]; stem cell population maintenance [GO:0019827]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; Wnt signaling pathway [GO:0016055]	RNA polymerase II C-terminal domain phosphoserine binding [GO:1990269]	Cdc73/Paf1 complex [GO:0016593]; centrosome [GO:0005813]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8WW12	Q8WW12	PCNP_HUMAN	PEST proteolytic signal-containing nuclear protein (PCNP) (PEST-containing nuclear protein)	PCNP	cell cycle [GO:0007049]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]		nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8WWI5	Q8WWI5	CTL1_HUMAN	Choline transporter-like protein 1 (CDw92) (Solute carrier family 44 member 1) (CD antigen CD92)	SLC44A1 CD92 CDW92 CTL1	choline catabolic process [GO:0042426]; choline transport [GO:0015871]; phosphatidylcholine biosynthetic process [GO:0006656]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104]	choline transmembrane transporter activity [GO:0015220]; transmembrane transporter activity [GO:0022857]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
Q8WWM7	Q8WWM7	ATX2L_HUMAN	Ataxin-2-like protein (Ataxin-2 domain protein) (Ataxin-2-related protein)	ATXN2L A2D A2LG A2LP A2RP	regulation of cytoplasmic mRNA processing body assembly [GO:0010603]; stress granule assembly [GO:0034063]	cadherin binding [GO:0045296]; RNA binding [GO:0003723]	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear speck [GO:0016607]
Q8WWQ0	Q8WWQ0	PHIP_HUMAN	PH-interacting protein (PHIP) (DDB1- and CUL4-associated factor 14) (IRS-1 PH domain-binding protein) (WD repeat-containing protein 11)	PHIP DCAF14 WDR11	cytoskeleton organization [GO:0007010]; insulin receptor signaling pathway [GO:0008286]; negative regulation of apoptotic process [GO:0043066]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of insulin-like growth factor receptor signaling pathway [GO:0043568]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell morphogenesis [GO:0022604]; regulation of cell shape [GO:0008360]; regulation of protein phosphorylation [GO:0001932]; regulation of transcription by RNA polymerase II [GO:0006357]	insulin receptor binding [GO:0005158]; lysine-acetylated histone binding [GO:0070577]	nucleus [GO:0005634]
Q8WWW0	Q8WWW0	RASF5_HUMAN	Ras association domain-containing protein 5 (New ras effector 1) (Regulator for cell adhesion and polarization enriched in lymphoid tissues) (RAPL)	RASSF5 NORE1 RAPL	apoptotic process [GO:0006915]; intracellular signal transduction [GO:0035556]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of protein ubiquitination [GO:0031398]; regulation of apoptotic process [GO:0042981]; regulation of protein localization to nucleus [GO:1900180]; signal transduction [GO:0007165]	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; small GTPase binding [GO:0031267]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; nucleus [GO:0005634]
Q8WXI9	Q8WXI9	P66B_HUMAN	Transcriptional repressor p66-beta (GATA zinc finger domain-containing protein 2B) (p66/p68)	GATAD2B KIAA1150	ATP-dependent chromatin remodeling [GO:0043044]; negative regulation of transcription by RNA polymerase II [GO:0000122]	sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	chromatin [GO:0000785]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; NuRD complex [GO:0016581]; protein-containing complex [GO:0032991]
Q8WYP5	Q8WYP5	ELYS_HUMAN	Protein ELYS (Embryonic large molecule derived from yolk sac) (Protein MEL-28) (Putative AT-hook-containing transcription factor 1)	AHCTF1 ELYS TMBS62 MSTP108	cell division [GO:0051301]; mitotic nuclear envelope reassembly [GO:0007084]; mitotic spindle organization [GO:0007052]; mRNA transport [GO:0051028]; nuclear pore complex assembly [GO:0051292]; protein transport [GO:0015031]; regulation of cytokinesis [GO:0032465]	DNA binding [GO:0003677]	condensed chromosome kinetochore [GO:0000777]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q92522	Q92522	H1X_HUMAN	Histone H1.10 (Histone H1x)	H1-10 H1FX	chromosome condensation [GO:0030261]; negative regulation of chromatin silencing [GO:0031936]; negative regulation of DNA recombination [GO:0045910]; nucleosome assembly [GO:0006334]; nucleosome positioning [GO:0016584]	cadherin binding [GO:0045296]; double-stranded DNA binding [GO:0003690]; nucleosomal DNA binding [GO:0031492]; RNA binding [GO:0003723]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]
Q92538	Q92538	GBF1_HUMAN	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1)	GBF1 KIAA0248	cell activation involved in immune response [GO:0002263]; cellular response to virus [GO:0098586]; cilium assembly [GO:0060271]; COPI coating of Golgi vesicle [GO:0048205]; endoplasmic reticulum-Golgi intermediate compartment organization [GO:0097111]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; establishment of monopolar cell polarity [GO:0061162]; Golgi disassembly [GO:0090166]; Golgi organization [GO:0007030]; Golgi to endosome transport [GO:0006895]; neutrophil chemotaxis [GO:0030593]; post-Golgi vesicle-mediated transport [GO:0006892]; protein localization to endoplasmic reticulum exit site [GO:0070973]; protein localization to endoplasmic reticulum tubular network [GO:1903420]; protein localization to Golgi apparatus [GO:0034067]; protein transport [GO:0015031]; reactive oxygen species biosynthetic process [GO:1903409]; regulation of ARF protein signal transduction [GO:0032012]; regulation of mitotic cell cycle [GO:0007346]; regulation of protein localization to cell surface [GO:2000008]; retrograde transport, endosome to Golgi [GO:0042147]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; viral process [GO:0016032]	guanyl-nucleotide exchange factor activity [GO:0005085]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]	cell leading edge [GO:0031252]; cis-Golgi network [GO:0005801]; cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; lipid droplet [GO:0005811]; membrane [GO:0016020]; trans-Golgi network [GO:0005802]
Q92597	Q92597	NDRG1_HUMAN	Protein NDRG1 (Differentiation-related gene 1 protein) (DRG-1) (N-myc downstream-regulated gene 1 protein) (Nickel-specific induction protein Cap43) (Reducing agents and tunicamycin-responsive protein) (RTP) (Rit42)	NDRG1 CAP43 DRG1 RTP	cellular response to hypoxia [GO:0071456]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; mast cell activation [GO:0045576]; negative regulation of cell population proliferation [GO:0008285]; peripheral nervous system myelin maintenance [GO:0032287]; postsynapse organization [GO:0099173]; regulation of apoptotic process [GO:0042981]; response to metal ion [GO:0010038]; signal transduction [GO:0007165]	cadherin binding [GO:0045296]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; small GTPase binding [GO:0031267]	adherens junction [GO:0005912]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]
Q92608	Q92608	DOCK2_HUMAN	Dedicator of cytokinesis protein 2	DOCK2 KIAA0209	actin cytoskeleton organization [GO:0030036]; alpha-beta T cell proliferation [GO:0046633]; chemotaxis [GO:0006935]; establishment of T cell polarity [GO:0001768]; immunological synapse formation [GO:0001771]; macropinocytosis [GO:0044351]; membrane raft polarization [GO:0001766]; myeloid dendritic cell activation involved in immune response [GO:0002277]; negative thymic T cell selection [GO:0045060]; neutrophil degranulation [GO:0043312]; positive regulation of GTPase activity [GO:0043547]; positive regulation of phagocytosis [GO:0050766]; positive thymic T cell selection [GO:0045059]; regulation of defense response to virus by virus [GO:0050690]; small GTPase mediated signal transduction [GO:0007264]	GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]; T cell receptor binding [GO:0042608]	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane [GO:0016020]; specific granule lumen [GO:0035580]
Q92610	Q92610	ZN592_HUMAN	Zinc finger protein 592	ZNF592 KIAA0211		DNA binding [GO:0003677]; metal ion binding [GO:0046872]	nucleus [GO:0005634]
Q92619	Q92619	HMHA1_HUMAN	Rho GTPase-activating protein 45 [Cleaved into: Minor histocompatibility antigen HA-1 (mHag HA-1)]	ARHGAP45 HMHA1 KIAA0223	activation of GTPase activity [GO:0090630]; intracellular signal transduction [GO:0035556]; neutrophil degranulation [GO:0043312]; regulation of small GTPase mediated signal transduction [GO:0051056]	GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]	azurophil granule lumen [GO:0035578]; cytosol [GO:0005829]; extracellular region [GO:0005576]; membrane [GO:0016020]; ruffle membrane [GO:0032587]; secretory granule lumen [GO:0034774]
Q92621	Q92621	NU205_HUMAN	Nuclear pore complex protein Nup205 (205 kDa nucleoporin) (Nucleoporin Nup205)	NUP205 C7orf14 KIAA0225	intracellular transport of virus [GO:0075733]; mitotic nuclear envelope reassembly [GO:0007084]; mRNA export from nucleus [GO:0006406]; nuclear pore complex assembly [GO:0051292]; nuclear pore organization [GO:0006999]; nucleocytoplasmic transport [GO:0006913]; protein sumoylation [GO:0016925]; regulation of cellular response to heat [GO:1900034]; regulation of gene silencing by miRNA [GO:0060964]; regulation of glycolytic process [GO:0006110]; tRNA export from nucleus [GO:0006409]; viral life cycle [GO:0019058]; viral process [GO:0016032]; viral transcription [GO:0019083]	structural constituent of nuclear pore [GO:0017056]	cytosol [GO:0005829]; host cell [GO:0043657]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nuclear pore inner ring [GO:0044611]
Q92667	Q92667	AKAP1_HUMAN	A-kinase anchor protein 1, mitochondrial (A-kinase anchor protein 149 kDa) (AKAP 149) (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein 84) (S-AKAP84)	AKAP1 AKAP149 PRKA1	antiviral innate immune response [GO:0140374]; apoptotic process [GO:0006915]; blood coagulation [GO:0007596]	protein kinase A regulatory subunit binding [GO:0034237]; RNA binding [GO:0003723]	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
Q92733	Q92733	PRCC_HUMAN	Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein)	PRCC TPRC	cell cycle [GO:0007049]; mRNA splicing, via spliceosome [GO:0000398]; regulation of cell cycle [GO:0051726]		nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q92766	Q92766	RREB1_HUMAN	Ras-responsive element-binding protein 1 (RREB-1) (Finger protein in nuclear bodies) (Raf-responsive zinc finger protein LZ321) (Zinc finger motif enhancer-binding protein 1) (Zep-1)	RREB1 FINB	multicellular organism development [GO:0007275]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of brown fat cell differentiation [GO:0090336]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of lamellipodium morphogenesis [GO:2000394]; positive regulation of mammary gland epithelial cell proliferation [GO:0033601]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of wound healing, spreading of epidermal cells [GO:1903691]; Ras protein signal transduction [GO:0007265]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; fibrillar center [GO:0001650]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleus [GO:0005634]
Q92769	Q92769	HDAC2_HUMAN	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	HDAC2	ATP-dependent chromatin remodeling [GO:0043044]; behavioral response to ethanol [GO:0048149]; blood coagulation [GO:0007596]; cardiac muscle hypertrophy [GO:0003300]; cellular response to dopamine [GO:1903351]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to retinoic acid [GO:0071300]; cellular response to transforming growth factor beta stimulus [GO:0071560]; chromatin remodeling [GO:0006338]; circadian regulation of gene expression [GO:0032922]; dendrite development [GO:0016358]; embryonic digit morphogenesis [GO:0042733]; epidermal cell differentiation [GO:0009913]; eyelid development in camera-type eye [GO:0061029]; fungiform papilla formation [GO:0061198]; hair follicle placode formation [GO:0060789]; heterochromatin maintenance [GO:0070829]; histone deacetylation [GO:0016575]; histone H3 deacetylation [GO:0070932]; histone H4 deacetylation [GO:0070933]; negative regulation of apoptotic process [GO:0043066]; negative regulation of dendritic spine development [GO:0061000]; negative regulation of DNA binding [GO:0043392]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of MHC class II biosynthetic process [GO:0045347]; negative regulation of neuron projection development [GO:0010977]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of male mating behavior [GO:1902437]; positive regulation of oligodendrocyte differentiation [GO:0048714]; positive regulation of proteolysis [GO:0045862]; positive regulation of signaling receptor activity [GO:2000273]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; regulation of signal transduction by p53 class mediator [GO:1901796]; response to amphetamine [GO:0001975]; response to caffeine [GO:0031000]; response to cocaine [GO:0042220]; response to drug [GO:0042493]; response to hyperoxia [GO:0055093]; response to lipopolysaccharide [GO:0032496]; response to nicotine [GO:0035094]	chromatin binding [GO:0003682]; deacetylase activity [GO:0019213]; enzyme binding [GO:0019899]; heat shock protein binding [GO:0031072]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]; NF-kappaB binding [GO:0051059]; promoter-specific chromatin binding [GO:1990841]; protein deacetylase activity [GO:0033558]; RNA binding [GO:0003723]; RNA polymerase II repressing transcription factor binding [GO:0001103]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]	chromatin [GO:0000785]; cytoplasm [GO:0005737]; ESC/E(Z) complex [GO:0035098]; histone deacetylase complex [GO:0000118]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; NuRD complex [GO:0016581]; protein-containing complex [GO:0032991]; Sin3 complex [GO:0016580]
